,id,time,open,high,low,close,volume,ranges,MA7,MA25,MA99,upperBB,lowerBB
172,173,2020-02-28,8827.12,8908.86,8450,8699.57,196066,458.86,9273.01,9721.92,8296.83,10643.4,8800.4
173,174,2020-02-29,8699.86,8799.83,8530,8531.98,103525,269.83,9111.98,9695.27,8309.65,10713.4,8677.16
174,175,2020-03-01,8532.5,8762.24,8409,8537.84,174333,353.24,8911.22,9651.58,8322.09,10770.1,8533.03
175,176,2020-03-02,8537.84,8972,8504.95,8919.7,160294,467.05,8805.04,9617.25,8342.49,10771.7,8462.75
176,177,2020-03-03,8919.7,8922.34,8657.41,8765,160124,264.93,8724.9,9574.99,8359.28,10774.8,8375.19
177,178,2020-03-04,8765,8853.88,8669.23,8756.93,105462,184.65,8719.86,9529.01,8375.52,10763.5,8294.53
178,179,2020-03-05,8755.98,9172.3,8755.98,9062.81,161841,416.32,8753.4,9484.82,8391.23,10703.1,8266.59
179,180,2020-03-06,9062.62,9179.75,8994.14,9139.48,115012,185.61,8816.25,9455.78,8408.64,10670.8,8240.75
180,181,2020-03-07,9139.77,9204,8850,8897.18,125805,354,8868.42,9402.5,8420.37,10592.8,8212.2
181,182,2020-03-08,8895.62,8897.71,7997.7,8038.46,237407,900.01,8797.08,9310.44,8425.37,10553.5,8067.41
182,183,2020-03-09,8038.99,8182.31,7635.21,7932.15,334399,547.1,8656,9218.14,8430.88,10515.2,7921.09
183,184,2020-03-10,7932.45,8156.31,7733,7897.66,257069,423.31,8532.1,9119.78,8437,10429.9,7809.61
184,185,2020-03-11,7898.21,7988,7593.29,7938.39,220537,394.71,8415.16,9040.71,8443.54,10388.9,7692.48
185,186,2020-03-12,7938.39,7969,4347,4764.65,784747,3622,7801.14,8834.42,8419.03,10969.5,6699.37
186,187,2020-03-13,4762.28,5971,3621.81,5570.26,935489,2349.19,7291.25,8668.59,8400.7,11136.4,6200.77
187,188,2020-03-14,5569.84,5638.42,5040,5167.01,316243,598.42,6758.37,8468.3,8376.92,11223.1,5713.55
188,189,2020-03-15,5167.21,5954.47,5089.12,5357.32,356312,865.35,6375.35,8298.85,8355.4,11277.3,5320.43
189,190,2020-03-16,5354.81,5361.26,4413.62,5026.26,621556,947.64,5960.22,8115.82,8330.33,11314.8,4916.86
190,191,2020-03-17,5027.11,5529.98,4913.49,5307.38,429908,616.49,5590.18,7940.86,8309.83,11259.3,4622.45
191,192,2020-03-18,5306.42,5435,4982.75,5389.64,402006,452.25,5226.07,7770.08,8291.33,11158.7,4381.42
192,193,2020-03-19,5389.94,6400,5246.5,6159.6,499391,1153.5,5425.35,7618.74,8280.76,10940.3,4297.17
193,194,2020-03-20,6159.41,6911,5650,6203.77,571898,1261,5515.85,7480.37,8270.75,10734.6,4226.1
194,195,2020-03-21,6204.47,6457.17,5854.01,6183.69,387680,603.16,5661.09,7354.68,8259.95,10554.2,4155.16
195,196,2020-03-22,6183.84,6408.91,5730.35,5810.17,391003,678.56,5725.79,7235.4,8247.31,10434,4036.83
196,197,2020-03-23,5810.3,6619.9,5670,6463.84,489746,949.9,5931.16,7140.83,8240.73,10282.5,3999.17
197,198,2020-03-24,6463.21,6840,6369,6741.33,437969,471,6136.01,7062.5,8239.26,10139.2,3985.79
198,199,2020-03-25,6740.86,6960.71,6436.26,6673.41,400685,524.45,6319.4,6988.16,8239.81,10006.2,3970.14
199,200,2020-03-26,6673.57,6777.5,6500,6733.76,281246,277.5,6401.42,6915.99,8234.31,9865.11,3966.88
200,201,2020-03-27,6733.76,6840,6230,6353.64,258214,610,6422.83,6813.35,8226.31,9648.3,3978.4
201,202,2020-03-28,6353.64,6354.74,6004,6230.95,341944,350.74,6429.59,6711.99,8216.68,9435.2,3988.78
202,203,2020-03-29,6231.81,6260,5857.6,5876.27,251336,402.4,6439.03,6596.76,8204,9200.6,3992.93
203,204,2020-03-30,5876.27,6606.15,5850,6391.08,387322,756.15,6428.63,6489.89,8192.77,8882.77,4097.02
204,205,2020-03-31,6389.52,6516.63,6320,6407.1,262523,196.63,6380.89,6380.6,8183.61,8503.61,4257.58
205,206,2020-04-01,6407.1,6693,6140,6641.51,390530,553,6376.33,6290.37,8177.44,8142.15,4438.59
206,207,2020-04-02,6641.22,7290,6542.73,6791.63,531321,747.27,6384.6,6240.5,8173.3,7958.43,4522.57
207,208,2020-04-03,6791.65,7049.11,6600,6729.8,411945,449.11,6438.33,6192.4,8168.58,7775,4609.81
208,209,2020-04-04,6729.8,7020,6629.99,6851.1,319850,390.01,6526.93,6150.54,8164.57,7594.49,4706.6
209,210,2020-04-05,6851.4,6893.44,6668.02,6768.9,239225,225.42,6654.45,6103.76,8159.09,7371.38,4836.15
210,211,2020-04-06,6768.9,7370,6760,7325.73,461331,610,6787.97,6206.21,8158.5,7436.29,4976.12
211,212,2020-04-07,7325.73,7457,7070.43,7192.9,419572,386.57,6900.22,6271.11,8158.02,7532.23,5009.99
212,213,2020-04-08,7192.9,7417.83,7145.14,7357.66,332600,272.69,7002.53,6358.74,8159.73,7604.54,5112.94
